1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|||25900881|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900752|+|2
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900755|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900761|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900764|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900815|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900819|+|10
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900824|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900828|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900830|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|2||25900821|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|3||25900821|+|1
