1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|||25900863|+|22
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|||25900881|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|||25900990|+|27
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|1||25900812|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|1||25900828|*-|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|1||25900828|*+|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|1||25900830|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|1||25900830|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900761|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900762|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900810|-|4
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900810|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900812|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900853|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900853|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900854|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2||25900942|+|6
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2|3|25900792|-|0.1764
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|2|3|25900940|+|0.0441
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900762|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900805|-|4
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900810|-|11
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900810|+|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900812|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900853|-|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900853|+|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900854|+|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900883|+|3
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900942|+|11
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3||25900944|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3|4|25900792|-|0.1764
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|3|4|25900940|+|0.0441
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900762|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900805|-|4
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900810|-|4
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900810|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900812|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900853|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900853|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900854|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900942|+|6
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4||25900944|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4|5|25900792|-|0.164
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|4|5|25900940|+|0.041
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5||25900762|-|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5||25900805|-|4
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5||25900810|-|2
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5||25900812|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5||25900942|+|5
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5||25900944|+|1
1727187I|4106605|01.20264303761888|E806509|0|0.206|0|0|0.206|0|5|6|25900792|-|0.164
