1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|||25900863|+|71
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|||25900881|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|||25900946|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|||25900990|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900703|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900716|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900752|+|2
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900755|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900761|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900764|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900805|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900810|+|11
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900812|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900813|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900815|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900816|+|2
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900819|+|10
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900824|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900828|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900830|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900868|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900883|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||25900911|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|2||25900812|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|2||25900821|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|3||25900812|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|3||25900821|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15002645|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15004337|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15004707|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15004882|+|3.912
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15005508|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15006340|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15008292|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15010262|+|2
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15010295|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15010569|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15010994|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011039|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011065|+|2
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011093|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011122|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011406|+|5
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011477|+|11
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15011916|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15014339|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15014564|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15014808|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15014832|+|4
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15015107|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15015136|+|1.5
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15015168|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15018683|+|6
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||15025975|+|3
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||20004561|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||20009172|+|1
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||20009557|+|15.5
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||20009879|+|2
1728163I|4108320|01.20264367568796|E807007|0|0|0|0|0|0|1||20021108|+|3
